user_id,item_id
17931409,156434933
50325088,180502553
101640658,158311438
126389844,212131673
52867640,108536167
45649043,360118466
110507614,257891992
36362795,347943745
16506346,219597922
35932244,281755086
50780812,32807586
11244543,385729946
111348988,60580689
52403660,383270745
58650579,328216047
138047652,4483263
25737478,353450244
64243962,214620738
43877747,11369913
133629062,97796295
62879735,384038335
34539613,391421279
125528876,230764298
45542840,259559168
142094433,348630740
12578052,147523503
118107588,400517071
30966958,178396709
32119657,377878926
31485010,282731010
109381076,373903413
107276237,209635245
20170404,185731592
28178051,249403460
118404042,119073682
127276245,297882199
11244543,280215543
42295282,191174380
42295282,84806089
125584802,31906505
129335403,185579171
138961180,98603220
111852751,25796154
128441868,123705616
40201228,204634836
54817646,224377559
39970946,107048538
132626507,299440985
28180583,163515330
108170081,324477898
14458587,93974956
27226408,366091478
11244543,290212267
21737559,380191317
126047058,172320465
27880085,271424416
37100390,174651776
117631619,250720385
119663397,284585584
100695202,294238495
100572118,312702922
108798644,367787535
122943143,17050674
50325088,152913686
100572118,385700165
24809533,341114188
124672580,146825230
114412982,373389502
128441868,276316706
136154031,123749896
58210263,57241247
45895559,198823079
114885602,316840401
45649043,14193987
47671268,245152255
44494127,66875804
114885602,271254567
65156859,307491533
103214311,249965919
49889355,125089236
131915414,157745376
55988786,299344097
1840942,7208610
49669986,176474194
50216353,270882795
119486616,229644759
25966114,182954957
42295282,93532495
134236257,143098144
12952941,377404755
29853689,340869480
60710861,46243040
1840942,309490040
41762899,92319425
21717333,257735994
106932875,15075795
52913276,155857132
114357452,203626886
25737478,380202209
49860627,321678683
119269023,180018971
25619476,191917795
14202153,337455716
59252367,115212758
126102987,250570157
14202153,24528439
21717333,269584561
6357161,372332367
115475948,194698763
102831484,342937973
29141072,139533689
13346727,71507195
13346727,295177427
11244543,242537420
62390663,121427217
15775396,121306070
62294198,198641355
108648119,97064041
31663549,358084230
55842521,332675812
102769936,39771482
29633312,308286880
138589540,170742994
134314587,310445741
50260039,248963042
12966018,299904686
44182382,369176897
64047083,138374754
128086359,230129104
46312028,120428365
25724410,140076661
127207080,202065504
28140683,117574024
64243962,311358013
131353646,53336357
46394564,235698870
103047301,182926917
128788710,152338475
26980240,34093038
44182382,314319983
115031243,253513340
58587273,140756932
24211879,26356970
44182382,291503193
57679953,333028913
42966754,21017478
142094433,273935167
31485010,70309583
34539613,14574857
30655074,120461526
65156859,394736444
45542840,307378520
134998335,316643050
30655074,216279234
6232766,16958209
61969736,67162755
118404042,349014848
111435559,189644343
59745300,6414354
107204669,83964520
119748633,355346300
58676181,34070354
52941353,39705757
44068940,3209270
125589239,78531003
33822250,10717658
39267725,243497733
49860627,383780064
38026943,253800192
37712171,12160971
57415269,253363464
35350045,9302233
45837941,282842410
61283696,309392996
130279610,293867036
20752626,346336773
136493844,217887045
132747710,263014505
30919120,121318977
50325088,224928809
129775149,339546084
127643976,53627090
123211175,398204635
20988891,65505907
106778780,232663396
22726524,272369633
39970946,42818333
120471076,222851513
138062871,90412888
28180583,237505531
39970946,393458344
26894059,103120757
135792408,278753602
50325088,289853271
106115495,125701061
15913654,141456015
45837941,386045508
126735858,252349934
132626507,24376695
20657253,290186594
103214311,105689941
108163037,322845324
123746669,99398749
39970946,71202290
126047058,304951094
116523407,119930041
132626507,140610787
132626507,179516225
20927673,376823168
139379200,246955199
40796353,167535712
43205692,19046121
128015256,319534299
112721758,129792032
33905986,67111053
34841326,318510293
62103155,58834379
22359420,33003897
136275558,204682597
141826607,1665069
3277525,84738453
134576592,394815530
37393370,190166651
37165541,84981878
10587282,11434344
135792408,47366843
138003363,372762867
127276245,327908585
101359807,266049335
64318839,413340
47762627,83161663
57977424,164319897
137365881,154199567
42873856,67457624
108351764,218446594
60380684,237223630
131832287,360266987
113853212,137025490
103214311,91850689
42873856,89430767
111294118,129754506
41396203,95774224
27068950,26365199
138222096,192357424
47222483,48590053
134979525,132681991
136275558,16887513
58998438,198732859
24298813,315901816
114880178,249731523
108648119,165059063
141934553,287308537
131231825,301628976
138222096,101268199
20627865,266094503
4406018,10098506
137618175,275834749
45837941,27985394
50285347,99623009
112671106,152892401
45837941,185636108
24211879,111098416
62896607,289434434
46312028,10680022
126744954,46442908
25647154,282054448
43877747,43700339
59745300,214934419
10713699,175630081
12189507,229645998
134236257,26132278
119377710,157776158
61720898,246151315
118107588,303547291
31419541,364978737
110051854,296253594
64243962,141390538
30009492,196793876
134236257,111618812
123974099,324723312
134236257,307538506
65156859,171667097
49860627,382407124
51294139,383809493
41283289,129537887
104068372,364470358
18480256,150977227
15852880,123123516
102033883,207317427
21333723,240219948
126997008,184866293
121077230,398917306
127720263,374458325
